visitor_ab,home_ab,visitor_hr,home_hr,home,visitor
34,32,0,0,CLE,OAK
32,30,0,1,CLE,OAK
39,40,1,3,CLE,KCA
37,27,2,0,TBA,BOS
37,33,1,1,CLE,KCA
38,31,1,2,TBA,BOS
34,34,1,1,CLE,KCA
34,32,0,2,TBA,BOS
50,47,2,1,CLE,CHA
34,33,1,2,BAL,BOS
30,36,1,1,CLE,CHA
38,35,3,0,BAL,BOS
30,34,3,0,CLE,CHA
35,34,1,0,BAL,BOS
39,32,1,1,SEA,CLE
26,25,0,0,SEA,CLE
35,34,0,0,BOS,CHA
33,33,0,0,BOS,CHA
34,35,0,1,SEA,CLE
39,37,0,1,BOS,CHA
30,33,0,1,SEA,CLE
32,33,0,1,ANA,CLE
34,31,0,3,BOS,TBA
33,30,2,1,ANA,CLE
39,34,5,1,BOS,TBA
59,49,1,2,ANA,CLE
34,40,1,5,BOS,TBA
28,28,0,1,CLE,MIN
29,28,0,0,OAK,BOS
41,43,1,0,CLE,MIN
38,29,1,0,OAK,BOS
33,36,0,0,CLE,MIN
34,32,0,0,OAK,BOS
34,31,1,0,SEA,BOS
35,29,0,2,CLE,ANA
37,34,3,0,SEA,BOS
34,28,0,0,CLE,ANA
38,30,1,1,SEA,BOS
37,35,2,0,CLE,ANA
40,36,1,2,BOS,TOR
42,35,3,2,KCA,CLE
34,36,1,0,BOS,TOR
37,36,1,2,KCA,CLE
32,33,0,2,BOS,TOR
37,31,1,0,KCA,CLE
32,30,0,0,BOS,BAL
34,36,0,2,MIN,CLE
39,34,1,0,BOS,BAL
35,35,0,1,MIN,CLE
32,33,0,2,BOS,BAL
32,30,0,0,MIN,CLE
36,30,2,0,CLE,KCA
29,36,1,2,CLE,KCA
40,37,2,6,NYA,BOS
32,38,0,0,CLE,KCA
38,30,2,2,NYA,BOS
35,34,1,1,CLE,KCA
33,35,0,1,NYA,BOS
37,31,0,0,CHA,BOS
37,30,0,3,CLE,DET
35,35,2,1,CHA,BOS
31,33,1,1,CHA,BOS
32,32,0,2,CLE,DET
37,30,1,0,CLE,DET
33,34,1,2,CHA,BOS
38,33,1,1,CHA,CLE
40,39,1,0,BOS,NYA
37,36,0,1,BOS,NYA
23,23,0,1,CHA,CLE
36,30,1,3,BOS,NYA
34,37,2,1,CHA,CLE
45,43,2,2,CLE,CHA
34,34,1,3,TEX,BOS
35,35,0,1,CLE,CHA
34,39,2,4,TEX,BOS
31,32,0,1,CLE,CHA
32,29,0,4,TEX,BOS
29,28,0,0,CLE,BOS
34,31,1,3,CLE,BOS
30,24,0,0,CLE,BOS
34,36,1,1,BOS,NYA
42,33,2,0,SEA,CLE
40,36,4,0,BOS,NYA
30,33,0,0,SEA,CLE
28,34,0,0,BOS,NYA
37,30,2,2,SEA,CLE
31,31,2,0,ANA,CLE
45,35,2,1,BOS,TBA
28,28,0,2,ANA,CLE
32,31,0,1,BOS,TBA
40,37,0,1,ANA,CLE
33,33,0,2,BOS,TOR
34,32,0,1,CLE,BAL
31,29,0,1,BOS,TOR
37,37,2,2,CLE,BAL
30,33,0,1,BOS,TOR
30,29,0,3,CLE,BAL
29,37,1,3,BOS,TOR
40,35,0,0,KCA,CLE
35,32,0,0,KCA,CLE
30,33,0,0,OAK,BOS
37,34,0,1,KCA,CLE
35,39,3,1,OAK,BOS
38,36,0,1,ANA,BOS
33,33,0,0,KCA,CLE
33,35,0,0,ANA,BOS
38,29,1,0,ANA,BOS
32,34,1,1,MIN,CLE
35,33,1,0,ANA,BOS
35,31,0,0,MIN,CLE
33,33,0,0,BAL,BOS
34,34,1,5,CLE,KCA
35,32,1,2,BAL,BOS
35,34,2,0,CLE,KCA
38,30,0,1,BAL,BOS
32,33,0,4,CLE,KCA
32,33,0,2,BOS,SEA
39,34,1,3,CLE,DET
33,32,0,0,BOS,SEA
46,44,2,2,CLE,DET
31,34,0,0,BOS,SEA
34,30,0,0,CLE,DET
37,36,1,1,BOS,ANA
34,35,1,3,BOS,ANA
36,31,0,0,OAK,CLE
48,48,1,0,BOS,ANA
34,28,0,2,OAK,CLE
43,29,1,0,BOS,ANA
45,46,0,0,OAK,CLE
34,40,0,0,ANA,CLE
38,31,1,2,BOS,MIN
34,32,0,1,ANA,CLE
29,35,0,0,BOS,MIN
38,36,1,0,ANA,CLE
34,38,1,1,BOS,MIN
41,39,0,0,BOS,MIN
35,31,2,2,CLE,TBA
45,36,3,3,TOR,BOS
38,32,2,0,CLE,TBA
31,35,2,1,TOR,BOS
35,35,0,1,CLE,TBA
32,31,2,3,CLE,SEA
35,36,2,1,NYA,BOS
36,34,1,0,NYA,BOS
35,32,3,2,NYA,BOS
36,41,1,0,BOS,BAL
44,32,1,0,KCA,CLE
33,32,2,0,KCA,CLE
31,26,0,0,BOS,DET
29,26,0,0,CHA,CLE
37,32,2,2,BOS,DET
32,33,1,1,CHA,CLE
38,42,0,2,BOS,CHN
34,27,0,0,CLE,CIN
35,35,0,1,BOS,CHN
29,29,0,1,CLE,CIN
32,31,0,1,BOS,CHN
37,35,2,2,CLE,CIN
31,28,1,1,CLE,BOS
32,29,1,1,CLE,BOS
45,33,4,0,CLE,BOS
41,26,1,0,DET,BOS
35,33,2,1,DET,BOS
31,35,0,2,TBA,CLE
33,36,1,1,TBA,CLE
33,33,3,2,DET,BOS
30,29,0,0,DET,BOS
31,32,0,1,TBA,CLE
37,33,1,1,BOS,CHA
32,36,1,1,TOR,CLE
38,36,0,2,BOS,CHA
37,36,0,1,TOR,CLE
39,35,2,1,BOS,CHA
46,39,1,1,TOR,CLE
38,35,0,1,CLE,TEX
37,36,0,1,BOS,OAK
44,31,2,1,CLE,TEX
52,57,0,1,BOS,OAK
33,32,2,0,CLE,TEX
30,33,1,2,BOS,OAK
33,28,2,0,CLE,TEX
35,34,0,2,CLE,MIN
29,25,0,0,CLE,MIN
31,35,2,0,NYA,BOS
38,39,0,2,CLE,MIN
36,34,3,1,NYA,BOS
