yearID,teamID,R,RA,RperG,RAperG,W,L,WPct,Cook_WPct,Soolman_WPct,Kross_WPct,Smyth_WPct,BJames_Pythag_WPct,BJames_Pythag_WPctII
1921,NY1,840,637,5.4902,4.1634,94,59,0.6144,0.6382418,0.6361699,0.6593,0.6374,0.634892641418,0.623923924189
1931,NYA,1067,760,6.9739,4.9673,94,59,0.6144,0.6795105,0.7046993,0.7020,0.6680,0.663420720021,0.650422463095
1978,NYA,735,582,4.5092,3.5706,100,63,0.6135,0.6112371,0.5971718,0.6314,0.6162,0.614626104586,0.605186242122
1907,DET,694,532,4.6267,3.5467,92,58,0.6133,0.6313835,0.6116133,0.6523,0.6321,0.629869484477,0.619273583707
1942,BOS,761,594,5.0066,3.9079,93,59,0.6118,0.6200741,0.6131579,0.6406,0.6232,0.621403133406,0.611444907834
1963,LAN,640,550,3.9506,3.3951,99,63,0.6111,0.5632000,0.5582716,0.5818,0.5756,0.575200112344,0.568893065113
1964,NYA,730,577,4.5062,3.5617,99,63,0.6111,0.6123397,0.5977716,0.6326,0.6171,0.615479499994,0.605973991853
1973,CIN,741,621,4.5741,3.8333,99,63,0.6111,0.5775266,0.5767222,0.5966,0.5881,0.587427063876,0.580129558526
1981,CIN,464,440,4.2963,4.0741,66,42,0.6111,0.5104000,0.5235926,0.5273,0.5265,0.526529973392,0.524278636581
1983,CHA,800,650,4.9383,4.0123,99,63,0.6111,0.5956923,0.5954321,0.6154,0.6034,0.602352941176,0.593868288224
1989,OAK,712,576,4.3951,3.5556,99,63,0.6111,0.5982778,0.5870741,0.6181,0.6056,0.604425791683,0.595778403708
2002,ANA,851,644,5.2531,3.9753,99,63,0.6111,0.6395714,0.6313580,0.6607,0.6385,0.635856943799,0.624817146886
2005,CHA,741,645,4.5741,3.9815,99,63,0.6111,0.5560372,0.5614630,0.5744,0.5693,0.568933360688,0.563139403937
1916,BRO,585,471,3.7987,3.0584,94,60,0.6104,0.6011465,0.5774481,0.6210,0.6080,0.606710916808,0.597884773521
1921,CLE,925,712,6.0065,4.6234,94,60,0.6104,0.6287921,0.6414545,0.6496,0.6301,0.627949850613,0.617497530952
1922,NYA,758,618,4.9221,4.0130,94,60,0.6104,0.5936440,0.5937143,0.6133,0.6017,0.600701733843,0.592347103616
1927,PIT,817,659,5.3052,4.2792,94,60,0.6104,0.6000425,0.6053701,0.6199,0.6070,0.605833340897,0.597075765567
1930,WS1,892,689,5.7922,4.4740,94,60,0.6104,0.6266009,0.6349805,0.6473,0.6284,0.626317218796,0.615987483368
1932,PHA,981,752,6.3701,4.8831,94,60,0.6104,0.6313883,0.6517922,0.6523,0.6321,0.629873058156,0.619276890652
1934,NYA,842,669,5.4675,4.3442,94,60,0.6104,0.6091599,0.6152403,0.6293,0.6145,0.613012256544,0.603696820513
1947,BRO,774,668,5.0260,4.3377,94,60,0.6104,0.5608024,0.5708701,0.5793,0.5735,0.573113938582,0.566977313507
1948,NYA,857,633,5.5649,4.1104,94,60,0.6104,0.6552733,0.6492532,0.6769,0.6503,0.647012962301,0.635162892973
1950,BOS,1027,804,6.6688,5.2208,94,60,0.6104,0.6182438,0.6474805,0.6387,0.6218,0.620011227732,0.610158908736
1954,CHA,711,521,4.6169,3.3831,94,60,0.6104,0.6605067,0.6274610,0.6823,0.6542,0.65063799774,0.63852962176
1959,CHA,669,588,4.3442,3.8182,94,60,0.6104,0.5506735,0.5548312,0.5689,0.5644,0.564172670032,0.558770704469
1902,PHA,775,636,5.6985,4.6765,83,53,0.6103,0.5897799,0.6045735,0.6093,0.5985,0.597564870299,0.589458179101
1976,NYA,730,575,4.5912,3.6164,97,62,0.6101,0.6144696,0.6008176,0.6348,0.6188,0.61712168148,0.607490148612
1904,NYA,598,526,3.9603,3.4834,92,59,0.6093,0.5502510,0.5501523,0.5684,0.5641,0.563795169326,0.558424363866
1904,CHN,599,517,3.9150,3.3791,93,60,0.6078,0.5607660,0.5562876,0.5793,0.5735,0.57308214474,0.566948119962
